在职总月数,每月平均使用分钟数,平均未接语音呼叫数,是否流失
7,855,5,0
22,42,8,1
42,510,29,1
32,287,9,1
13,1238,57,1
14,335,22,0
25,544,17,0
8,14,0,0
16,1039,107,0
14,1487,30,1
17,191,24,1
24,205,34,1
7,291,2,0
16,30,0,0
23,362,23,0
33,1488,103,1
27,111,5,1
29,743,13,1
19,315,10,0
21,26,2,1
23,843,26,0
22,539,52,1
36,586,20,1
14,419,17,1
12,1075,103,0
37,183,16,0
24,245,7,1
11,386,27,1
21,175,5,1
9,345,34,0
20,196,29,1
22,1061,63,1
17,358,11,1
10,324,11,0
26,123,6,0
23,786,13,0
50,1496,121,0
32,126,9,1
8,459,13,1
15,475,52,1
12,504,36,1
19,1648,67,0
11,1186,47,1
14,1547,132,0
12,319,16,1
11,382,7,1
20,101,11,0
6,1336,81,0
19,122,6,1
24,372,19,0
18,618,12,0
13,392,28,0
30,36,2,1
20,72,2,0
17,99,14,1
14,505,70,1
27,83,8,1
17,190,22,1
32,84,4,0
23,555,29,1
17,373,46,1
20,168,2,0
15,50,0,1
50,184,6,0
36,377,11,0
10,2231,62,1
18,322,18,1
9,229,10,0
17,474,36,1
20,463,4,1
15,832,9,0
6,464,7,0
7,110,12,0
27,393,17,0
22,494,38,0
36,364,22,1
21,223,25,1
15,270,5,0
10,1269,65,0
42,235,10,0
14,259,0,0
31,17,4,1
7,496,46,0
33,648,45,1
17,285,14,0
11,940,83,1
38,48,4,0
17,627,11,0
20,36,0,1
12,738,21,1
10,162,4,0
16,403,14,0
13,1035,32,0
24,730,24,0
14,1696,65,0
23,218,9,1
15,896,2,0
13,538,29,1
36,119,2,0
20,1696,62,0
11,508,24,1
15,710,23,1
25,349,9,1
40,289,12,0
8,51,2,0
13,552,13,0
34,260,13,1
26,587,49,1
22,262,5,1
6,208,5,0
25,770,21,0
17,109,8,1
10,1825,32,1
24,340,16,1
23,458,2,1
31,556,27,0
15,245,414,0
37,111,5,1
11,1041,142,0
10,137,13,0
26,101,3,1
33,422,14,0
12,233,5,1
24,285,24,1
12,485,9,1
18,0,0,0
19,849,49,0
7,355,55,0
18,591,0,0
35,66,2,1
41,1,0,1
22,121,11,0
23,366,24,1
15,380,11,1
11,356,25,0
21,162,3,0
19,729,62,0
26,173,9,1
7,594,41,0
20,6,0,1
16,38,1,0
13,1305,55,0
17,90,1,0
6,1238,40,1
35,963,10,1
16,247,9,1
24,339,17,0
12,1065,24,0
22,356,14,0
18,702,18,1
33,208,14,1
19,578,22,1
9,1311,90,0
48,768,48,0
22,10,0,1
10,105,7,0
31,451,18,1
10,570,25,0
11,1227,46,1
12,0,0,1
24,62,6,0
20,1986,91,1
26,41,2,0
34,75,3,1
22,26,0,1
8,333,0,0
18,442,52,1
19,99,0,0
7,1403,46,0
12,870,65,1
25,146,14,1
14,699,9,1
26,449,11,0
18,191,13,0
9,84,4,1
13,985,125,0
13,928,0,1
31,358,30,0
8,163,12,0
40,263,35,1
29,812,27,0
53,71,5,0
12,457,50,1
27,21,2,0
19,308,13,1
10,87,0,1
9,435,0,0
26,-1,4,1
12,2094,141,0
14,135,9,0
30,576,7,1
30,34,1,1
27,797,23,0
26,313,29,1
23,64,3,1
28,65,4,1
14,347,28,0
11,520,13,1
23,239,17,1
8,756,23,0
29,-1,122,0
12,592,9,0
12,11,3,1
14,5,0,1
13,46,0,0
7,308,8,0
14,653,15,0
22,2698,86,0
8,267,71,0
34,96,1,0
25,208,11,0
15,834,29,1
24,916,23,0
31,846,37,1
7,274,22,0
28,38,0,1
9,262,10,0
46,1623,83,0
11,551,0,1
25,624,26,0
33,807,85,1
7,571,44,0
8,561,23,0
6,250,23,1
21,707,26,0
20,24,0,1
26,84,5,1
17,828,27,1
21,567,7,1
29,11,0,1
8,1663,96,0
20,194,11,1
11,276,44,0
22,364,12,0
13,2408,107,0
41,244,16,1
26,58,1,0
11,12,0,1
23,652,32,0
14,109,0,1
12,404,4,1
15,360,6,1
8,476,31,0
8,273,15,0
19,100,14,1
16,54,0,1
28,97,7,0
24,363,11,0
17,594,22,0
9,308,11,0
14,297,30,1
14,1663,65,1
14,145,7,0
13,650,32,0
12,18,2,1
12,665,52,0
15,437,48,1
10,320,19,0
39,0,0,1
19,223,17,1
30,1572,63,0
16,363,14,1
9,193,19,1
20,236,6,0
24,81,5,0
13,443,11,1
34,121,4,0
12,55,0,1
11,675,24,0
35,2643,126,1
39,595,14,0
13,607,61,0
16,605,45,0
27,53,7,1
17,41,0,0
22,247,16,1
22,177,9,1
9,1372,32,0
20,163,11,1
30,140,13,0
32,194,16,1
29,37,0,0
17,556,21,0
9,2250,143,1
13,211,21,1
22,181,7,1
45,684,31,0
10,120,12,1
21,169,2,1
22,77,4,1
25,29,1,0
23,1667,44,0
38,566,26,0
39,153,19,1
8,1199,116,0
25,367,12,1
17,22,4,1
7,32,0,0
29,1080,28,1
35,47,2,1
30,726,16,1
27,437,9,0
8,1972,100,0
13,511,23,0
36,208,13,0
30,332,15,1
32,388,24,0
29,391,17,1
31,259,9,1
25,832,24,1
13,40,9,1
11,59,0,1
29,709,37,0
8,2313,274,0
11,997,40,1
33,214,26,0
7,963,30,1
22,263,30,0
26,35,8,0
28,23,5,0
7,1347,44,1
31,191,16,1
6,1613,98,0
7,408,43,0
21,31,0,0
29,148,8,1
13,1197,76,0
7,1058,54,0
17,186,11,0
32,348,10,1
9,220,18,1
22,280,18,1
7,723,36,0
24,757,44,1
7,671,85,0
24,863,53,1
10,1535,27,0
19,217,27,1
10,113,0,0
35,573,9,0
10,220,11,1
29,72,17,1
16,978,43,1
35,94,8,0
16,468,59,1
15,288,14,0
22,333,18,0
7,674,41,0
20,745,508,0
31,1953,77,1
6,159,28,1
29,475,66,0
32,397,14,0
13,204,13,0
9,2005,61,0
30,1302,61,1
14,99,8,0
23,1212,40,0
21,269,13,0
9,243,18,0
9,802,107,1
14,397,0,1
31,908,87,0
12,185,7,1
23,338,7,1
13,641,57,0
13,381,0,0
12,10,1,0
21,1010,41,0
25,482,72,0
32,111,11,0
31,4,0,1
11,151,4,1
15,617,0,0
14,767,51,0
14,395,20,1
11,609,18,1
35,187,25,1
14,96,5,0
15,136,13,0
10,1426,52,1
11,286,0,0
21,73,0,1
23,960,32,0
11,230,13,1
14,1027,161,1
27,191,6,1
12,204,18,1
46,0,0,0
26,94,5,1
10,62,3,1
11,2015,84,0
11,489,23,1
28,251,5,1
19,7,0,0
9,267,3,0
11,910,61,0
24,72,1,0
9,1081,21,1
18,1183,24,1
21,498,29,0
14,279,0,1
18,401,12,0
15,367,1,0
17,67,2,1
22,1846,58,1
38,45,9,0
16,672,14,0
14,75,17,0
51,310,30,1
46,131,9,1
15,169,8,1
44,143,7,1
6,232,15,0
11,392,27,1
8,278,0,1
19,620,12,1
18,896,27,0
7,1764,115,0
32,334,21,0
14,18,0,1
16,138,5,0
11,3896,108,0
14,438,16,1
30,1604,85,1
12,407,6,1
24,1855,71,0
16,452,31,0
26,145,11,0
20,515,15,0
16,159,19,1
13,143,6,1
24,34,3,0
13,586,22,0
14,777,27,0
24,309,21,1
26,372,19,0
10,777,44,0
22,64,2,1
22,1020,38,0
13,390,1,0
15,774,53,1
9,104,7,0
24,204,15,1
54,25,1,1
11,0,0,1
33,1220,39,0
31,46,2,1
7,1234,55,0
17,1041,115,0
32,87,2,1
40,840,74,1
24,1088,21,0
17,287,16,0
16,409,17,1
31,232,0,1
32,227,33,1
13,1251,81,1
7,66,7,0
10,237,0,1
41,2274,82,0
11,199,21,1
44,346,21,1
27,89,3,1
32,157,11,0
21,833,49,0
7,1504,46,0
41,192,26,0
33,165,5,0
13,641,8,0
8,539,19,0
13,503,44,1
15,691,68,0
28,214,10,1
14,52,5,0
11,568,13,1
21,323,27,1
40,195,11,0
31,547,3,0
9,656,0,0
12,2153,65,1
13,593,32,1
31,315,16,1
40,89,7,0
30,261,20,1
8,280,9,0
14,308,9,1
16,620,54,1
11,3224,96,1
16,537,30,0
22,1409,48,0
13,144,3,1
30,2840,71,1
18,661,42,0
23,36,1,1
12,273,13,1
11,197,7,1
42,33,1,1
14,487,13,1
13,52,2,1
18,1426,25,1
15,1093,28,0
10,474,50,1
11,404,36,1
10,37,4,0
14,160,7,1
35,221,15,1
16,38,8,0
11,887,25,1
7,696,63,0
7,48,3,0
8,1723,75,0
16,385,26,0
6,138,10,0
35,75,3,0
44,585,0,1
29,231,4,1
37,104,13,1
13,807,13,0
11,587,57,1
7,491,57,0
16,703,30,1
6,1342,79,1
11,604,40,1
27,364,18,1
48,49,2,1
9,337,33,0
15,391,3,1
52,1010,31,0
19,110,11,0
26,496,42,0
11,82,0,1
50,981,2,1
15,33,1,0
46,110,3,1
13,292,11,1
17,83,9,0
25,490,6,0
16,73,6,1
8,120,0,0
20,203,48,0
34,461,31,0
16,675,16,1
32,1392,92,0
20,976,48,0
10,301,1,0
22,321,9,1
24,709,24,0
9,139,0,0
9,1455,95,0
19,293,24,1
17,1139,70,1
20,-1,0,1
11,214,17,0
45,74,8,0
9,162,14,0
11,253,14,1
30,872,41,0
19,231,34,1
11,129,10,0
24,611,7,0
9,1832,47,0
13,283,9,1
11,513,48,0
12,270,0,0
29,581,28,1
22,1040,25,1
23,887,26,1
10,238,13,0
10,301,13,1
16,422,27,0
21,450,25,0
35,1094,53,0
35,176,2,0
19,162,8,0
7,1398,93,1
11,313,13,1
30,860,97,0
29,353,10,1
17,1492,53,1
11,1175,77,0
12,365,7,1
14,549,16,0
13,11,0,1
12,1051,79,1
11,830,193,0
11,544,10,0
8,1798,69,1
21,233,8,0
30,188,28,1
12,744,18,0
8,2493,44,0
15,134,2,0
18,924,25,0
8,844,16,0
12,0,0,1
11,191,15,1
17,374,36,1
13,525,3,1
7,121,4,1
28,93,2,1
27,652,20,0
31,1,0,1
31,618,39,0
13,494,20,1
28,372,12,0
8,468,99,1
14,422,31,0
25,181,12,1
13,1010,30,1
16,283,13,0
11,765,20,1
10,143,20,1
27,287,8,1
11,555,21,0
11,695,0,1
26,193,13,0
36,1201,45,0
30,248,18,0
19,100,16,0
15,1196,29,0
39,473,6,0
16,796,32,0
30,737,53,1
10,511,23,0
31,607,33,0
30,115,5,1
22,83,10,0
23,249,11,0
35,811,37,0
10,741,34,0
6,48,1,0
11,26,0,0
12,32,8,1
17,103,0,1
28,1359,106,1
27,990,23,0
13,826,27,1
12,624,99,1
19,24,1,1
12,251,10,0
12,217,13,1
21,682,11,1
10,484,28,1
11,2721,191,0
12,747,30,1
20,447,23,0
16,2346,60,1
11,15,0,1
28,605,2,1
10,553,41,0
13,769,42,1
13,180,8,1
18,386,11,0
14,828,27,1
11,141,3,1
17,138,3,0
15,82,5,1
9,824,71,0
9,36,2,1
22,370,10,1
14,345,0,0
21,1861,85,0
13,515,23,1
9,566,1,1
13,979,78,1
30,496,18,0
11,482,42,1
25,403,4,1
17,1013,91,1
10,283,9,0
22,619,99,0
33,129,3,1
47,1692,62,0
7,1264,75,0
25,442,44,1
19,194,9,0
24,990,40,1
8,217,26,0
20,122,21,1
23,342,11,0
42,1259,32,0
7,461,47,0
11,1543,100,1
13,133,3,0
34,513,46,0
7,370,10,1
13,1566,7,0
8,904,57,0
36,825,1,0
14,2895,256,0
35,195,5,1
12,2403,40,1
12,441,37,0
13,558,6,1
9,575,20,0
11,467,26,1
15,738,68,0
15,913,27,1
12,615,41,1
28,564,6,1
26,102,5,1
13,1140,102,0
13,357,24,0
27,222,18,0
37,259,30,0
25,35,2,1
18,389,18,0
12,301,22,1
14,236,8,1
16,628,36,1
47,25,0,1
37,721,0,1
18,0,0,1
14,845,11,1
13,830,43,0
18,211,7,0
24,135,3,1
11,558,18,1
12,690,50,1
11,397,17,0
11,716,95,1
19,1768,73,0
14,286,15,0
9,56,0,1
35,750,31,1
27,689,44,1
33,667,24,1
22,201,3,1
35,1615,173,0
21,1230,19,0
25,666,21,1
19,1028,24,0
33,633,30,1
15,327,24,1
33,570,27,0
7,315,21,0
7,197,15,1
11,119,2,1
29,505,42,0
9,98,5,0
15,685,13,1
29,210,7,1
31,897,37,0
23,41,2,1
24,370,38,0
25,461,19,1
12,209,6,0
13,0,0,1
12,456,13,0
23,3757,170,0
10,1076,46,0
14,1652,54,0
7,47,2,0
31,666,73,1
23,288,5,0
23,202,13,1
16,232,32,0
11,451,77,0
13,663,32,1
12,1306,27,0
14,408,5,1
32,121,8,1
14,84,4,1
31,-1,22,1
10,34,0,1
11,63,25,0
7,101,8,0
20,751,56,0
7,1364,28,1
27,154,41,1
11,836,42,0
12,402,0,1
17,483,16,1
11,375,23,1
18,232,12,0
14,217,11,0
9,117,5,0
24,83,0,0
12,240,12,1
8,223,17,0
32,77,2,1
24,372,9,1
32,149,7,1
18,532,15,0
6,2109,59,1
24,932,43,1
33,535,37,0
25,467,10,0
11,828,14,1
11,501,1,0
22,159,5,0
9,1074,257,0
33,113,23,1
13,121,12,1
11,258,13,1
7,786,26,0
28,523,29,1
35,247,9,1
11,156,34,0
21,319,25,1
20,259,18,1
7,465,8,1
18,460,48,0
25,384,14,0
12,710,40,1
28,17,0,1
18,78,2,0
16,484,63,0
12,264,7,1
50,95,9,0
26,199,5,0
14,108,12,1
9,625,49,0
33,140,26,0
11,1285,19,0
33,351,9,0
10,40,4,0
19,493,12,0
32,321,27,0
33,315,9,0
22,914,22,1
24,225,8,1
9,272,8,1
15,1129,34,0
17,685,28,0
23,261,7,0
14,955,57,0
19,348,19,0
16,1110,14,1
9,760,22,1
15,715,37,1
16,372,22,0
20,624,44,1
25,108,0,1
9,161,5,0
19,35,8,1
8,256,18,0
26,62,5,1
11,1384,119,0
28,656,39,1
28,306,13,0
15,85,5,1
16,131,12,1
7,145,13,0
18,158,48,0
23,477,19,0
18,784,30,0
13,90,10,1
11,410,12,0
26,179,17,1
26,785,28,0
16,815,45,1
28,320,7,0
26,281,23,1
13,1459,75,0
19,216,20,0
31,433,7,0
14,814,2,1
26,302,20,1
15,160,5,1
7,172,11,1
25,131,9,1
29,42,1,0
13,355,13,0
15,237,13,1
7,1476,67,0
21,726,14,0
13,118,3,1
11,1094,47,1
8,71,4,0
6,1020,8,0
8,2134,40,0
8,861,14,0
22,109,15,1
45,2,0,1
18,175,21,1
7,266,0,1
23,297,14,1
19,1444,98,1
10,672,20,1
11,733,91,1
33,372,1,0
7,86,0,0
7,680,32,1
21,644,56,1
11,1714,6,0
15,668,26,0
12,1207,181,1
11,271,28,0
26,1220,124,0
37,61,2,0
19,179,15,1
10,867,90,0
15,0,0,1
11,1100,52,0
13,223,13,0
14,979,84,1
8,845,33,1
50,982,43,1
9,343,10,0
23,96,2,0
24,207,11,0
20,2228,76,0
11,279,24,0
11,221,7,1
15,45,13,1
34,244,8,1
33,550,12,0
12,252,4,0
10,739,43,0
28,281,9,1
35,139,1,1
30,220,6,1
17,601,18,1
11,399,0,0
13,357,19,1
7,198,11,0
18,72,9,1
18,87,6,1
21,328,21,1
21,176,22,0
20,959,28,0
9,125,3,1
21,25,0,0
6,600,50,1
8,4522,351,1
23,180,17,1
31,350,28,1
19,407,71,1
20,614,37,1
8,327,24,0
23,-1,0,1
22,373,37,0
39,344,14,0
28,4623,164,1
10,648,3,1
17,251,54,0
39,733,16,1
29,-1,15,1
19,494,31,1
26,666,31,1
20,693,3,1
31,15,0,0
19,331,42,1
19,504,27,1
19,304,45,1
7,249,5,0
7,92,15,1
25,209,11,1
15,19,3,0
36,821,31,1
10,641,0,0
23,930,45,0
23,525,11,1
8,1421,114,0
34,547,15,0
28,3,0,0
13,125,8,1
11,381,37,1
19,1189,57,0
31,324,12,1
25,715,21,0
14,35,4,1
19,39,2,1
23,100,10,0
12,232,4,1
22,557,45,0
24,242,2,0
12,189,12,1
7,385,5,0
12,136,0,1
20,11,5,1
12,370,45,1
12,286,10,0
19,65,13,1
24,289,1,1
9,9,10,0
23,447,14,1
32,127,7,0
11,1488,35,1
15,127,0,1
15,88,2,1
20,605,38,1
9,14,4,0
16,81,13,1
8,912,101,0
13,606,29,0
14,79,1,1
18,1486,18,1
18,40,1,1
11,423,25,1
26,87,4,0
36,25,1,0
19,108,7,1
31,267,13,1
19,79,3,0
23,186,4,0
15,36,3,0
7,149,12,0
13,253,10,1
23,7,1,1
8,641,85,0
17,943,47,1
20,850,38,0
8,890,55,1
13,374,20,1
13,291,89,1
11,169,4,0
8,556,0,0
18,340,21,1
20,865,78,0
18,1014,98,1
35,35,1,0
14,0,0,1
18,748,147,1
7,1707,80,0
30,250,7,0
13,313,4,1
17,998,25,1
11,526,15,1
19,367,24,1
21,501,4,0
25,1523,50,0
13,54,14,1
20,437,10,0
12,508,76,1
8,1522,137,0
15,1874,126,1
7,981,67,0
12,41,1,0
26,-1,8,1
12,98,0,1
7,222,22,1
16,878,29,1
10,481,5,1
27,373,17,0
18,7,0,1
42,99,12,0
12,96,8,1
36,595,14,1
23,893,71,1
10,2064,148,1
7,129,18,1
10,45,0,1
12,283,22,0
12,1175,52,1
15,292,41,1
15,34,2,1
12,143,25,1
15,181,22,0
15,657,72,1
27,50,0,1
10,1392,22,1
9,7,0,1
29,41,1,1
16,883,100,1
27,168,26,1
7,1112,43,0
15,1121,42,1
30,728,114,0
16,814,26,1
21,139,24,1
30,261,6,0
22,44,0,0
21,107,13,0
24,352,15,0
24,308,9,1
21,413,9,1
10,1103,70,0
23,218,26,1
20,1510,136,0
17,376,69,0
35,152,18,1
15,101,6,0
19,131,7,1
25,6,0,0
26,346,16,0
34,169,1,1
20,415,19,0
8,511,24,0
43,576,25,0
20,19,2,0
49,46,6,0
34,17,1,1
12,136,4,1
16,539,73,1
28,278,4,1
15,268,23,0
38,1,0,1
9,719,25,0
18,26,3,0
10,1150,17,0
17,552,16,1
17,259,11,1
7,476,13,0
13,248,3,0
11,725,21,1
7,569,78,0
29,646,0,0
9,487,45,0
19,1769,69,0
22,391,32,1
30,1071,38,0
24,1184,97,0
33,661,33,0
29,11,1,1
12,1909,75,1
37,445,27,1
13,303,11,1
11,23,2,1
14,1193,80,0
7,686,10,0
27,10,0,0
18,317,11,1
25,95,15,0
11,1115,58,1
25,164,3,1
12,257,0,0
7,2334,56,0
11,88,0,1
14,167,1,1
18,269,24,0
26,214,25,0
22,511,35,0
12,475,38,0
32,181,12,1
18,419,39,0
32,268,38,1
9,1341,32,0
26,10,1,0
26,457,12,1
21,1805,27,0
16,42,1,1
12,238,10,1
14,222,37,1
27,50,2,1
25,104,5,1
9,402,6,0
9,251,12,0
13,531,34,0
47,163,7,1
16,677,51,0
7,412,50,0
13,1234,31,1
34,61,4,0
8,263,0,0
10,474,28,1
23,654,40,0
12,1433,41,0
7,563,7,0
22,895,38,0
16,1294,65,1
11,46,13,1
10,555,24,1
12,769,67,1
9,389,25,0
11,346,92,0
10,937,22,1
17,1893,23,0
18,437,35,1
11,366,46,1
13,58,0,1
31,1038,96,1
26,246,0,1
7,749,70,0
38,286,25,1
15,204,8,0
22,899,131,1
10,1846,128,0
11,57,0,0
19,354,9,1
11,535,24,0
12,961,0,1
46,1456,48,0
22,369,26,1
12,715,26,1
16,588,5,1
41,758,41,1
6,909,54,0
27,1139,6,0
21,321,12,1
12,1513,56,1
13,551,31,0
14,78,4,0
25,215,17,0
10,1162,221,1
14,245,19,0
17,146,0,1
9,197,2,0
23,1145,0,1
25,182,22,1
29,289,13,0
8,563,98,1
12,167,3,0
17,194,22,0
12,129,13,0
56,-1,0,0
36,1,0,0
31,6,0,0
14,160,3,0
14,153,17,0
19,626,18,1
6,261,8,1
19,1,0,0
12,448,30,1
7,1185,90,0
10,782,0,1
34,597,14,0
26,554,25,0
13,1134,31,0
23,686,21,0
28,1018,22,0
18,10,0,0
7,1985,95,0
7,1388,114,0
31,209,12,1
7,768,33,0
14,341,0,0
20,0,0,1
27,32,8,0
11,1091,42,1
9,497,33,0
26,79,3,0
13,1529,88,1
21,865,28,0
7,0,0,1
12,250,0,1
29,739,426,0
13,626,40,1
23,435,17,0
16,246,22,1
20,95,10,1
13,61,5,1
35,135,5,1
23,125,7,1
21,3,2,1
13,357,24,0
11,379,58,1
14,968,21,1
8,703,33,0
19,7,1,0
14,1231,29,1
11,232,21,1
7,322,1,0
25,368,26,0
27,431,21,1
13,386,13,1
49,982,69,0
26,297,8,0
22,1002,72,0
46,1254,27,0
7,1309,36,0
22,442,27,0
8,921,51,0
23,113,2,1
12,330,32,1
25,567,54,0
13,442,15,0
16,1056,58,1
30,17,0,0
11,229,3,1
7,995,42,0
8,435,8,0
8,290,0,0
15,227,23,0
13,78,1,0
16,489,52,1
11,770,60,0
11,68,0,1
18,532,23,1
24,80,0,0
11,459,19,1
21,38,8,1
10,624,46,0
34,97,4,1
31,698,0,0
12,20,0,1
35,177,7,0
19,128,9,0
16,179,13,0
13,1031,31,0
14,596,20,0
23,0,0,1
18,128,5,1
9,53,6,0
44,552,31,0
24,415,8,1
9,839,8,0
15,595,116,1
16,287,10,1
29,232,8,0
24,256,15,1
11,367,13,1
7,264,17,0
7,36,2,1
24,1081,26,0
35,52,5,1
19,229,8,1
9,506,2,0
13,192,4,1
25,362,20,1
11,677,97,1
25,1174,39,0
14,1257,24,1
27,86,5,1
13,317,12,1
34,266,11,0
14,322,0,0
33,313,17,1
11,166,20,1
24,625,53,1
12,125,0,0
21,1153,16,1
8,245,16,0
20,409,10,1
12,168,6,0
11,270,8,1
7,677,83,0
11,147,10,0
12,957,50,0
47,627,53,0
20,92,1,1
34,228,15,0
10,379,41,0
18,295,9,0
20,731,42,1
7,10,0,1
40,179,16,1
25,0,0,1
6,637,24,1
7,351,47,0
12,1134,69,0
14,598,23,1
11,2113,139,1
14,244,10,0
9,1652,143,1
29,217,3,1
11,316,23,1
25,201,12,1
11,1560,59,1
8,280,27,0
24,554,34,1
10,976,35,1
22,230,4,0
11,1572,70,1
30,269,28,1
22,604,44,1
13,11,1,1
20,767,95,0
42,1,0,1
24,336,15,0
13,121,15,0
11,293,3,1
17,183,31,0
8,364,9,0
14,1584,74,1
13,75,3,0
35,3,0,0
12,18,0,1
23,842,43,0
32,2544,138,0
22,626,21,0
13,0,0,1
25,2176,131,0
19,119,1,0
24,755,26,0
19,490,16,1
51,1963,166,1
9,511,0,1
8,148,18,0
14,223,0,1
42,201,10,1
14,1252,66,1
17,500,16,1
13,78,2,1
20,878,22,0
10,276,16,0
28,342,33,0
24,1198,119,0
12,218,2,0
11,201,10,1
34,848,29,0
23,254,14,0
27,7,0,1
18,433,37,1
6,376,14,0
28,524,6,1
12,1337,0,0
19,1881,54,0
17,431,14,0
15,0,0,0
15,16,5,1
13,106,1,1
22,651,41,0
13,140,6,1
11,3,0,1
10,277,20,0
18,1012,28,1
6,731,7,1
34,456,9,0
11,444,0,0
26,87,1,1
9,465,26,0
27,70,4,0
9,59,1,0
8,110,5,1
48,1171,22,0
10,143,9,0
7,301,6,0
32,689,0,1
29,117,11,1
24,266,19,1
13,172,8,1
39,386,16,0
14,95,10,0
49,321,19,0
14,382,17,0
16,179,5,0
15,631,43,1
45,598,19,1
11,194,1,1
12,987,18,0
15,1975,53,1
9,937,66,0
17,2022,74,1
11,57,16,1
19,1140,60,0
8,2439,160,1
14,853,49,1
15,328,0,1
16,356,30,0
14,14,0,1
21,123,8,0
14,513,65,1
23,49,29,0
7,279,8,0
11,382,1,1
34,455,25,0
15,785,85,0
18,479,13,0
11,409,0,0
10,605,5,1
18,208,22,0
34,183,0,0
16,86,1,0
16,304,12,1
29,744,19,1
21,42,0,1
11,135,7,1
15,46,7,1
39,0,0,1
9,634,105,1
7,127,2,0
13,694,35,1
10,545,41,1
42,270,2,0
17,95,2,0
17,329,6,0
30,73,13,1
9,84,9,0
11,63,0,1
17,149,15,0
39,416,8,0
20,978,86,0
18,209,31,1
9,173,12,1
7,280,15,0
12,101,2,0
26,752,38,1
47,362,8,0
30,245,18,1
50,481,21,0
20,755,12,1
40,0,0,1
31,150,6,0
11,52,1,1
8,1535,38,1
11,181,6,0
27,3,0,0
18,207,11,0
13,557,18,1
14,271,26,0
10,0,0,0
18,1919,38,1
28,67,2,0
11,283,20,1
12,338,29,0
34,762,18,0
9,1076,33,0
13,257,25,1
20,319,38,0
30,9,0,1
41,132,20,0
20,74,1,0
25,1596,147,0
23,416,14,0
28,126,13,0
30,191,28,1
11,888,56,1
19,524,44,0
13,998,153,1
11,210,23,1
38,170,6,1
12,686,17,1
18,127,13,1
21,1096,48,0
9,505,11,0
26,460,32,1
34,191,21,1
13,902,3,1
30,146,9,1
35,184,3,1
18,94,4,0
13,489,41,0
13,94,2,0
11,1275,114,0
11,213,13,0
12,0,0,1
13,204,26,1
51,1219,32,0
13,233,0,0
7,587,18,0
33,735,32,0
29,173,1,1
19,743,41,0
34,50,1,1
17,818,18,0
47,41,0,1
15,267,15,0
20,109,2,1
23,171,15,1
13,61,3,1
17,56,11,1
21,844,57,1
20,1194,78,1
13,1,0,0
22,324,28,1
6,375,13,1
11,148,12,0
7,262,9,1
36,930,49,0
12,185,9,1
16,240,22,1
8,454,12,1
13,192,11,1
15,638,31,1
33,169,26,1
16,26,2,1
9,421,17,0
17,1571,46,0
12,133,7,1
13,371,60,1
7,118,0,0
12,544,22,0
33,198,23,1
29,281,8,0
7,240,18,1
7,164,7,0
38,13,6,1
13,417,5,1
43,89,6,1
19,303,25,0
7,304,7,1
7,233,11,0
23,412,13,0
7,98,3,0
22,298,9,1
33,28,0,0
28,170,3,1
10,216,19,1
6,603,51,0
12,717,55,0
15,1894,67,0
21,1072,22,0
13,1061,35,0
32,289,16,1
20,218,19,1
23,159,6,0
28,130,7,1
15,1001,30,0
22,52,4,0
14,814,27,1
22,1170,56,0
11,231,5,1
52,1155,59,0
17,649,65,1
14,718,52,1
12,216,0,0
9,1182,61,0
11,22,1,1
33,902,36,1
8,2443,140,0
43,38,9,1
23,2583,111,0
11,1353,53,1
15,725,45,0
11,369,23,1
16,69,5,0
10,110,28,0
11,926,15,1
16,795,26,0
18,406,19,1
13,274,53,0
14,609,58,1
20,238,8,1
12,4,0,0
21,455,12,0
8,282,13,0
16,102,2,0
8,671,43,1
12,705,0,0
16,178,3,0
18,578,20,1
17,991,23,1
10,150,0,1
8,207,19,0
12,895,38,0
18,204,8,0
15,1479,29,0
19,590,44,1
21,387,51,1
25,132,4,1
24,357,19,1
18,434,48,1
9,451,17,0
11,1167,61,0
19,430,33,1
19,445,12,0
24,202,17,1
23,18,1,1
13,1321,146,0
25,9,2,0
14,1677,126,1
23,1427,104,0
18,382,16,1
35,25,0,0
17,324,16,0
21,340,16,0
16,555,18,1
9,107,9,0
23,277,12,0
10,620,0,1
35,80,16,1
24,2982,102,1
8,374,0,0
8,377,16,0
25,299,6,0
25,1441,84,0
8,919,46,0
12,1088,68,0
35,243,19,1
19,1035,0,1
12,1804,80,0
34,772,63,0
15,214,26,1
40,289,26,1
21,50,1,1
22,115,5,0
14,398,15,0
11,462,26,1
18,8,1,0
12,1696,109,0
10,319,198,0
12,407,20,0
16,200,6,1
17,331,36,0
27,18,2,1
23,3,0,1
10,586,79,0
12,498,33,0
16,128,4,0
25,1012,29,1
22,966,61,1
14,217,22,1
10,500,48,1
35,-1,0,1
11,542,73,1
22,165,9,1
9,730,91,0
38,6,0,0
11,100,5,0
19,167,24,1
9,1358,61,0
10,160,7,0
23,2090,142,0
31,2,1,1
22,160,8,0
29,-1,9,1
12,107,11,0
25,91,0,1
13,1346,56,1
21,224,11,1
34,688,39,0
38,73,5,1
9,600,7,0
11,694,0,0
13,190,7,1
11,1108,104,1
34,112,5,0
12,688,14,0
11,728,95,0
11,332,6,1
16,0,0,1
20,0,0,1
35,66,6,1
8,2409,83,0
27,65,0,1
15,75,35,0
26,114,13,1
9,158,15,1
21,130,8,0
40,35,4,0
15,91,1,1
